,raw_min_trip_start_ts,silver_ml_imputed_fuel_std,bronze_mean_fuel_consumption_ecol,bronze_ingestion_duration_sec,bronze_correction_trips_removed,bronze_survival_rate,raw_null_count_avg_speed,silver_ml_imputed_fuel_mean,raw_std_fuel_consumption_ecor,bronze_std_fuel_consumption_ecol,raw_mean_fuel_consumption_ecor,bronze_idle_time_invalid_corrected,silver_fuel_ecol_available,silver_ml_prediction_mean,silver_ml_imputed_fuel_p95,silver_vehicle_type_nulls,silver_ingestion_duration_sec,bronze_excessive_daily_events_units,bronze_distance_km_std,bronze_duration_mean,bronze_duration_std,bronze_distance_km_mean,silver_avg_speed_imputed,raw_std_fuel_consumption_ecol,bronze_mean_fuel_consumption_fms_high,raw_avg_speed_mean,mean_idling_per_100km,bronze_std_fuel_consumption_ecor,mean_fuel_per_100km,silver_ml_residual_std,silver_ml_prediction_std,silver_vehicle_info_join_miss_rate,raw_mean_fuel_consumption_fms_high,raw_ingestion_duration_sec,raw_max_trip_end_ts
bronze_excessive_daily_events_units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00304694106939742,0.0,0.0,0.0030608033059114723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_distance_km_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293934956180237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003106137155693651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003027335231239892
bronze_duration_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002532592579295659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_duration_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_distance_km_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002946776268596448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029822021352336105
silver_avg_speed_imputed,0.0,0.0,0.0,0.0,0.0,0.0,0.0024114542669407732,0.0,0.0,0.0,0.0,0.0,0.002504879641162383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_std_fuel_consumption_ecol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003038279109643751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bronze_mean_fuel_consumption_fms_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_avg_speed_mean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002882963725949482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean_idling_per_100km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002391393313575857
bronze_std_fuel_consumption_ecor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024719431029281446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024974914918525735,0.0027806551824035835,0.0,0.0,0.0,0.0,0.0
mean_fuel_per_100km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002984322151191173,0.0,0.0,0.002995992464072725,0.0,0.0028485476315852076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver_ml_residual_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026175005875509207,0.002845010801780342,0.0026103046125460967,0.00254112922487851,0.0,0.002551009795255606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026165228693201606,0.0,0.0024948463582211574,0.0,0.0,0.0,0.0
silver_ml_prediction_std,0.0,0.0031197258881493295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silver_vehicle_info_join_miss_rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273989396072536,0.0,0.0,0.0,0.0,0.0,0.0,0.0024261565234786004,0.0,0.0,0.002833110410859292,0.0,0.0,0.00275955915399249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030479053803897857
raw_mean_fuel_consumption_fms_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003122471283433462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_ingestion_duration_sec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raw_max_trip_end_ts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
